DEVICE NAME,DEVICE POOL
AALN/S0/SU1/2@GWVESM-4.caf.com,CAFVEDP002
AALN/S0/SU2/1@GWVESM-4.caf.com,CAFVEDP002
AALN/S0/SU3/2@GWVESM-4.caf.com,CAFVEDP002
AALN/S0/SU1/1@GWVESM-4.caf.com,CAFVEDP002
AALN/S0/SU2/3@GWVESM-4.caf.com,CAFVEDP002
AALN/S0/SU2/2@GWVESM-4.caf.com,CAFVEDP002
AN00F137DEFF40E,CAFVEDP001
AN00F137DEFF403,CAFVEDP001
AN00F137DEFF405,CAFVEDP001
AN00F137DEFF402,CAFVEDP001
AN00F137DEFF40D,CAFVEDP001
AN00F137DEFF406,CAFVEDP001
AN00F137DEFF400,CAFVEDP001
AN00F137DEFF408,CAFVEDP001
AN00F137DEFF409,CAFVEDP001
AN00F137DEFF407,CAFVEDP001
AN00F137DEFF401,CAFVEDP002
AN00F137DEFF40A,CAFVEDP001
AN00F137DEFF404,CAFVEDP001
ANF755AF09F040D,CAFVEDP001
ANF755AF09F0414,CAFVEDP001
ANF755AF09F040C,CAFVEDP001
ANF755AF09F0405,CAFVEDP001
ANF755AF09F0401,CAFVEDP001
ANF755AF09F0410,CAFVEDP001
ANF755AF09F0412,CAFVEDP001
ANF755AF09F0407,CAFVEDP001
ANF755AF09F0411,CAFVEDP001
ANF755AF09F0404,CAFVEDP001
ANF755AF09F0416,CAFVEDP001
ANF755AF09F0413,CAFVEDP001
ANF755AF09F0408,CAFVEDP001
ANF755AF09F0403,CAFVEDP001
ANF755AF09F040E,CAFVEDP001
ANF755AF09F0415,CAFVEDP001
ANF755AF09F0409,CAFVEDP001
ANF755AF09F0406,CAFVEDP001
ANF755AF09F040F,CAFVEDP001
ANF755AF09F0402,CAFVEDP001
ANF755AF09F0400,CAFVEDP001
10.200.100.2,CAFBRDP001
10.200.100.3,CAFBRDP001
10.200.110.2,CAFCODP001
10.200.110.3,CAFCODP001
10.200.120.2,CAFECDP001
10.200.120.3,CAFECDP001
10.200.130.2,CAFPEDP001
10.200.130.3,CAFPEDP001
10.200.140.2,CAFBODP001
10.200.140.3,CAFBODP001
10.200.150.2,CAFPADP001
10.200.150.3,CAFPADP001
10.200.16.4,CAFVEDP001
10.200.16.5,CAFVEDP001
10.200.180.2,CAFPARDP001
10.200.180.3,CAFPARDP001
10.200.190.2,CAFPARDP001
10.200.190.3,CAFPARDP001
10.200.200.2,CAFMEDP001
10.200.200.3,CAFMEDP001
10.200.210.1,CAFTYTDP001
10.200.22.251,CAFURDP002
10.200.24.2,CAFESDP001
10.200.24.3,CAFESDP001
10.200.25.2,CAFARDP001
10.200.25.3,CAFARDP001
10.200.27.2,CAFURDP001
10.200.27.3,CAFURDP001
VGC12004A36C410,CAFVEDP002
VGC12004A36C429,CAFVEDP001
VGC12004A36C431,CAFVEDP001
VGC12004A36C404,CAFVEDP001
VGC12004A36C402,CAFVEDP001
VGC12004A36C408,CAFVEDP001
VGC12004A36C439,CAFVEDP002
VGC12004A36C401,CAFVEDP001
VGC12004A36C418,CAFVEDP001
VGC12004A36C420,CAFVEDP002
VGC12004A36C406,CAFVEDP001
VGC12004A36C417,CAFVEDP001
VGC12004A36C427,CAFVEDP001
VGC12004A36C438,CAFVEDP002
VGC12004A36C423,CAFVEDP001
VGC12004A36C405,CAFVEDP001
VGC12004A36C403,CAFVEDP001
VGC12004A36C435,CAFVEDP001
VGC12004A36C413,CAFVEDP001
VGC12004A36C433,CAFVEDP001
VGC12004A36C430,CAFVEDP001
VGC12004A36C414,CAFVEDP001
VGC12004A36C424,CAFVEDP001
VGC12004A36C428,CAFVEDP001
VGC12004A36C426,CAFVEDP001
VGC12004A36C422,CAFVEDP001
VGC12004A36C419,CAFVEDP002
VGC12004A36C407,CAFVEDP001
VGC12004A36C432,CAFVEDP001
VGC12004A36C412,CAFVEDP002
VGC12004A36C416,CAFVEDP001
VGC12004A36C425,CAFVEDP001
VGC12004A36C421,CAFVEDP001
VGC12004A36C434,CAFVEDP001
VGC12004A36C409,CAFVEDP002
VGC12004A36C440,CAFVEDP002
VGC12004A36C437,CAFVEDP001
VGC12004A36C415,CAFVEDP001
VGC12004A36D331,CAFVEDP001
VGC12004A36D340,CAFVEDP002
VGC12004A36D312,CAFVEDP002
VGC12004A36D321,CAFVEDP001
VGC12004A36D328,CAFVEDP001
VGC12004A36D323,CAFVEDP001
VGC12004A36D318,CAFVEDP001
VGC12004A36D339,CAFVEDP002
VGC12004A36D317,CAFVEDP002
VGC12004A36D322,CAFVEDP001
VGC12004A36D319,CAFVEDP002
VGC12004A36D316,CAFVEDP001
VGC12004A36D335,CAFVEDP002
VGC12004A36D324,CAFVEDP001
VGC12004A36D308,CAFVEDP002
VGC12004A36D303,CAFVEDP001
VGC12004A36D310,CAFVEDP002
VGC12004A36D330,CAFVEDP001
VGC12004A36D306,CAFVEDP002
VGC12004A36D336,CAFVEDP001
VGC12004A36D334,CAFVEDP001
VGC12004A36D309,CAFVEDP002
VGC12004A36D311,CAFVEDP002
VGC12004A36D305,CAFVEDP001
VGC12004A36D301,CAFVEDP001
VGC12004A36D313,CAFVEDP001
VGC12004A36D315,CAFVEDP001
VGC12004A36D314,CAFVEDP001
VGC12004A36D329,CAFVEDP001
VGC12004A36D304,CAFVEDP001
VGC12004A36D307,CAFVEDP002
VGC12004A36D302,CAFVEDP001
Lync_Sip_Trunk_Med_1,CAFVEDP001
PRUEBA_2200,CAFCODP001
RecordingTrunk_Crossrecorder,CAFCRDP001
SIP_Lync_Sip_Trunk_Med_URI,CAFVEDP001
SIP_Profile_ExpressWay,CAFVEDP003
SIP_TRUNK_N_CUCM,DP_Trunk
SIP_Trunk_CCM10.5_CCS,CAFInterGrupo
SIP_Trunk_CCM10.5_CCS,CAFInterGrupo
SIP_Trunk_CCM10.5_CCS,CAFInterGrupo
SIP_Trunk_CCM10.5_CCS,CAFInterGrupo
SIP_Trunk_CCM10.5_CCS,CAFInterGrupo
SIP_Trunk_CCM10.5_CCS,CAFInterGrupo
SIP_Trunk_CCM10.5_CCS,CAFInterGrupo
SIP_Trunk_CCM10.5_CCS,CAFInterGrupo
SIP_Trunk_CCM10.5_CCS,CAFInterGrupo
SIP_Trunk_CCM10.5_CCS,CAFInterGrupo
SIP_Trunk_CCM10.5_CCS,CAFInterGrupo
SIP_Trunk_CCM10.5_CCS,CAFInterGrupo
SIP_Trunk_CCM10.5_CCS,CAFInterGrupo
SIP_Trunk_GW_GSM_Uruguay,CAFURDP002
SIP_Trunk_IMP,CAFVEDP001
SIP_Trunk_InterGrupo,CAFInterGrupo
SIP_Trunk_InterGrupo,CAFInterGrupo
SIP_Trunk_Uruguay_Antel,CAFURDP002
SIP_VCS-SERVER,CAFVEDP001
Trunk_Ad_hoc_Conductor,DP_Conductor
Trunk_Rendezvous_to_Conductor,DP_Conductor
Trunk_Rendezvous_to_Conductor,DP_Conductor
