Numero Origen,ID Usuario Origen,Dispositivo Origen,Dispositivo Destino,Numero Marcado Original,Numero Marcado Final,ID Usuario Destino,Origen,Destino,Codigo Origen,Codigo Destino,Tiempo de Conexion,Tiempo de Desconexion,Duracion(s)
3145,\ ,SEP00279025BA44,SEP00279025BB0F,3133,3133,\ ,Uruguay,Uruguay,0,16,"01/Nov/2021, 08:18, AM","01/Nov/2021, 08:18, AM",7.0
6552,DNARANJO,SEP0C272455CF64,AN00F137DEFF400,2472,2472,\ ,Venezuela,Venezuela,0,16,"01/Nov/2021, 07:21, AM","01/Nov/2021, 07:21, AM",54.0
1165303852,\ ,10.200.25.2,CiscoUM1-VI1,6411,8000,\ ,Argentina,Miami,16,0,"01/Nov/2021, 08:34, AM","01/Nov/2021, 08:34, AM",8.0
2447,sala_venezuela,SEP34DBFDCD0C0C,10.200.16.4,105002263726,105002263726,\ ,Venezuela,Venezuela,16,0,"01/Nov/2021, 07:34, AM","01/Nov/2021, 07:36, AM",80.0
2447,sala_venezuela,SEP34DBFDCD0C0C,10.200.16.4,105002263726,105002263726,\ ,Venezuela,Venezuela,16,0,"01/Nov/2021, 07:36, AM","01/Nov/2021, 07:37, AM",69.0
2447,sala_venezuela,SEP34DBFDCD0C0C,10.200.16.4,105002263726,105002263726,\ ,Venezuela,Venezuela,16,0,"01/Nov/2021, 07:38, AM","01/Nov/2021, 07:38, AM",2.0
6523,HJHERNANDEZ,SEP0C272455BEF1,SEP34DBFDCD0C0C,2222,2222,sala_venezuela,Venezuela,Venezuela,0,16,"01/Nov/2021, 07:41, AM","01/Nov/2021, 07:42, AM",18.0
6552,DNARANJO,SEP0C272455CF64,SEP0C272455BEF1,6523,6523,HJHERNANDEZ,Venezuela,Venezuela,0,16,"01/Nov/2021, 07:42, AM","01/Nov/2021, 07:43, AM",58.0
2279,\ ,SEP0C272455C020,SEP34DBFDCC93C1,2222,2222,\ ,Venezuela,Venezuela,0,16,"01/Nov/2021, 07:44, AM","01/Nov/2021, 07:45, AM",6.0
2036,\ ,SEP34DBFDCC93C1,SEP0C272455C020,2279,2279,\ ,Venezuela,Venezuela,16,0,"01/Nov/2021, 07:46, AM","01/Nov/2021, 07:46, AM",5.0
2366,EDIAZ,SEP34DBFDCC8F4B,10.200.16.4,12418241,12418241,\ ,Venezuela,Venezuela,16,0,"01/Nov/2021, 07:54, AM","01/Nov/2021, 07:54, AM",13.0
6523,HJHERNANDEZ,SEP0C272455BEF1,SEP34DBFDCC93C1,2222,2222,\ ,Venezuela,Venezuela,16,0,"01/Nov/2021, 07:59, AM","01/Nov/2021, 07:59, AM",19.0
2093,IHERRERA,SEP0C272455A22B,SEP0C27245593D5,2152,2152,NCARRERO,Venezuela,Venezuela,16,0,"01/Nov/2021, 07:58, AM","01/Nov/2021, 07:59, AM",69.0
2111,\ ,SEP34DBFDCDA833,SEP34DBFDCC93C1,2222,2222,\ ,Venezuela,Venezuela,0,16,"01/Nov/2021, 08:03, AM","01/Nov/2021, 08:03, AM",8.0
4120307516,\ ,10.200.16.4,CiscoUM1-VI1,2184,8000,\ ,Venezuela,Miami,16,0,"01/Nov/2021, 08:05, AM","01/Nov/2021, 08:05, AM",5.0
4120307516,\ ,10.200.16.4,SEP0C272455BA79,2184,2184,LPONCE,Venezuela,Venezuela,0,16,"01/Nov/2021, 08:06, AM","01/Nov/2021, 08:08, AM",124.0
2279,\ ,SEP0C272455C020,SEP34DBFDCC93C1,2222,2222,\ ,Venezuela,Venezuela,0,16,"01/Nov/2021, 08:16, AM","01/Nov/2021, 08:16, AM",6.0
2047,ACHOZAJIAN,SEP0C272455C2CF,10.200.16.4,02434282,02434282,\ ,Venezuela,Venezuela,16,0,"01/Nov/2021, 08:20, AM","01/Nov/2021, 08:22, AM",149.0
2122434282,\ ,10.200.16.4,SEP0C272455C2CF,2047,2047,ACHOZAJIAN,Venezuela,Venezuela,0,16,"01/Nov/2021, 08:22, AM","01/Nov/2021, 08:23, AM",32.0
2111,\ ,SEP34DBFDCDA833,SEP34DBFDCC93C1,2222,2222,\ ,Venezuela,Venezuela,0,16,"01/Nov/2021, 08:23, AM","01/Nov/2021, 08:24, AM",7.0
2184,LPONCE,SEP0C272455BA79,CiscoUM1-VI1,2434,8000,\ ,Venezuela,Miami,16,0,"01/Nov/2021, 08:29, AM","01/Nov/2021, 08:29, AM",5.0
2472,\ ,AN00F137DEFF400,SEP34DBFDCC93C1,2222,2222,\ ,Venezuela,Venezuela,0,16,"01/Nov/2021, 08:31, AM","01/Nov/2021, 08:31, AM",12.0
2254,\ ,SEP5017FF774174,SEPC4143C8B0AE8,2078,2078,PSALAZAR,Venezuela,Venezuela,0,16,"01/Nov/2021, 08:31, AM","01/Nov/2021, 08:32, AM",46.0
6552,DNARANJO,SEP0C272455CF64,SEP34DBFDCC93C1,2222,2222,\ ,Venezuela,Venezuela,16,0,"01/Nov/2021, 08:34, AM","01/Nov/2021, 08:35, AM",20.0
2279,\ ,SEP0C272455C020,SEP34DBFDCD0C0C,2222,2222,sala_venezuela,Venezuela,Venezuela,0,16,"01/Nov/2021, 08:35, AM","01/Nov/2021, 08:35, AM",12.0
4242331495,\ ,10.200.16.4,SIP_Trunk_InterGrupo,2200,2200,\ ,Venezuela,Venezuela,16,0,"01/Nov/2021, 08:37, AM","01/Nov/2021, 08:38, AM",66.0
2392,AGONZALE,SEP7C95F33EBF51,SIP_Trunk_InterGrupo,2200,2200,\ ,Venezuela,Venezuela,16,0,"01/Nov/2021, 08:39, AM","01/Nov/2021, 08:40, AM",44.0
2122716051,\ ,10.200.16.4,SEP0C2724558DD4,6574,6574,LHOFFMANN,Venezuela,Venezuela,0,16,"01/Nov/2021, 08:41, AM","01/Nov/2021, 08:41, AM",19.0
1157571196,\ ,10.200.25.2,CiscoUM1-VI1,6411,8000,\ ,Argentina,Miami,16,0,"01/Nov/2021, 09:42, AM","01/Nov/2021, 09:42, AM",14.0
2177,LGARCIA,SEP0C272455B0C2,10.200.16.4,09797382,09797382,\ ,Venezuela,Venezuela,16,0,"01/Nov/2021, 08:42, AM","01/Nov/2021, 08:43, AM",50.0
2111,\ ,SEP34DBFDCDA833,10.200.16.4,105002263726,105002263726,\ ,Venezuela,Venezuela,16,0,"01/Nov/2021, 08:39, AM","01/Nov/2021, 08:44, AM",276.0
2111,\ ,SEP34DBFDCDA833,SEP0C272455CF64,6552,6552,DNARANJO,Venezuela,Venezuela,16,0,"01/Nov/2021, 08:45, AM","01/Nov/2021, 08:45, AM",33.0
2336,\ ,SEP5017FF772F29,SEP7C95F33EBBD3,2303,2303,\ ,Venezuela,Venezuela,16,0,"01/Nov/2021, 08:44, AM","01/Nov/2021, 08:45, AM",92.0
4242572274,\ ,10.200.16.4,SIP_Trunk_InterGrupo,2200,2200,\ ,Venezuela,Venezuela,0,16,"01/Nov/2021, 08:39, AM","01/Nov/2021, 08:46, AM",434.0
3145,\ ,SEP00279025BA44,SEP00279025BB0F,3133,3133,\ ,Uruguay,Uruguay,0,16,"01/Nov/2021, 09:47, AM","01/Nov/2021, 09:48, AM",39.0
2111,JARAQUE,SEP34DBFDCDA583,10.200.16.4,005002263726,005002263726,\ ,Venezuela,Venezuela,16,0,"01/Nov/2021, 08:47, AM","01/Nov/2021, 08:50, AM",203.0
2900333,\ ,10.200.150.2,SIP_Trunk_InterGrupo,2200,2200,\ ,Panama,Venezuela,16,0,"01/Nov/2021, 07:47, AM","01/Nov/2021, 07:51, AM",244.0
2028,RFUENTES,SEP7C95F33EBBB5,SIP_Trunk_InterGrupo,2200,2200,\ ,Venezuela,Venezuela,16,0,"01/Nov/2021, 08:49, AM","01/Nov/2021, 08:54, AM",300.0
2111,JARAQUE,SEP34DBFDCDA583,SEP0C272455CF64,6552,6552,DNARANJO,Venezuela,Venezuela,16,0,"01/Nov/2021, 08:58, AM","01/Nov/2021, 09:00, AM",80.0
4168010246,\ ,10.200.16.4,CiscoUM1-VI1,2111,8000,\ ,Venezuela,Miami,16,0,"01/Nov/2021, 09:00, AM","01/Nov/2021, 09:00, AM",6.0
2078,PSALAZAR,SEPC4143C8B0AE8,SEP0C272455BA79,2184,2184,LPONCE,Venezuela,Venezuela,0,16,"01/Nov/2021, 09:00, AM","01/Nov/2021, 09:01, AM",18.0
4168010246,\ ,10.200.16.4,SEP34DBFDCC93C1,2111,2222,\ ,Venezuela,Venezuela,393216,393216,"01/Nov/2021, 09:00, AM","01/Nov/2021, 09:01, AM",45.0
4168010246,\ ,10.200.16.4,SEP7C95F33EBF33,2182,2182,\ ,Venezuela,Venezuela,0,16,"01/Nov/2021, 09:01, AM","01/Nov/2021, 09:02, AM",68.0
2900333,\ ,10.200.150.2,SIP_Trunk_InterGrupo,2200,2200,\ ,Panama,Venezuela,16,0,"01/Nov/2021, 07:57, AM","01/Nov/2021, 08:04, AM",405.0
2279,\ ,SEP0C272455C020,AN00F137DEFF400,2472,2472,\ ,Venezuela,Venezuela,16,0,"01/Nov/2021, 09:05, AM","01/Nov/2021, 09:06, AM",66.0
2125433385,\ ,10.200.16.4,CiscoUM1-VI1,2074,8000,\ ,Venezuela,Miami,16,0,"01/Nov/2021, 09:06, AM","01/Nov/2021, 09:06, AM",3.0
2036,\ ,SEP34DBFDCC93C1,SEP0C272455C020,2279,2279,\ ,Venezuela,Venezuela,16,0,"01/Nov/2021, 09:06, AM","01/Nov/2021, 09:06, AM",12.0
2472,\ ,AN00F137DEFF400,SEP34DBFDCC93C1,2222,2222,\ ,Venezuela,Venezuela,0,16,"01/Nov/2021, 09:08, AM","01/Nov/2021, 09:09, AM",12.0
2184,LPONCE,SEP0C272455BA79,SEP34DBFDCD0C0C,2447,2447,sala_venezuela,Venezuela,Venezuela,16,0,"01/Nov/2021, 09:08, AM","01/Nov/2021, 09:09, AM",33.0
2036,\ ,SEP34DBFDCC93C1,SEP64E9502F823E,6553,6553,LFSANCHEZ,Venezuela,Venezuela,0,16,"01/Nov/2021, 09:09, AM","01/Nov/2021, 09:09, AM",15.0
2111,JARAQUE,SEP34DBFDCDA583,SEP0C272455BEF1,6523,6523,HJHERNANDEZ,Venezuela,Venezuela,16,0,"01/Nov/2021, 09:09, AM","01/Nov/2021, 09:10, AM",49.0
4242331495,\ ,10.200.16.4,SIP_Trunk_InterGrupo,2200,2200,\ ,Venezuela,Venezuela,16,0,"01/Nov/2021, 09:08, AM","01/Nov/2021, 09:10, AM",152.0
2900333,\ ,10.200.150.2,SIP_Trunk_InterGrupo,2200,2200,\ ,Panama,Venezuela,16,0,"01/Nov/2021, 08:09, AM","01/Nov/2021, 08:12, AM",173.0
2111,JARAQUE,SEP34DBFDCDA583,SEP0C272455BEF1,6523,6523,HJHERNANDEZ,Venezuela,Venezuela,0,16,"01/Nov/2021, 09:12, AM","01/Nov/2021, 09:14, AM",89.0
2279,\ ,SEP0C272455C020,SEP34DBFDCD0C0C,2222,2222,sala_venezuela,Venezuela,Venezuela,0,16,"01/Nov/2021, 09:14, AM","01/Nov/2021, 09:14, AM",13.0
2111,\ ,SEP34DBFDCDA833,SEP34DBFDCC93C1,2222,2222,\ ,Venezuela,Venezuela,0,16,"01/Nov/2021, 09:14, AM","01/Nov/2021, 09:14, AM",19.0
4242759309,\ ,10.200.16.4,CiscoUM1-VI1,2134,8000,\ ,Venezuela,Miami,16,0,"01/Nov/2021, 09:16, AM","01/Nov/2021, 09:16, AM",8.0
2111,JARAQUE,SEP34DBFDCDA583,SEP0C272455BEF1,6523,6523,HJHERNANDEZ,Venezuela,Venezuela,0,16,"01/Nov/2021, 09:18, AM","01/Nov/2021, 09:18, AM",7.0
2472,\ ,AN00F137DEFF400,SEP34DBFDCC93C1,2222,2222,\ ,Venezuela,Venezuela,0,16,"01/Nov/2021, 09:19, AM","01/Nov/2021, 09:19, AM",7.0
1169349297,\ ,10.200.25.2,CiscoUM1-VI1,6463,8000,\ ,Argentina,Miami,16,0,"01/Nov/2021, 10:19, AM","01/Nov/2021, 10:19, AM",9.0
1169349297,\ ,10.200.25.2,CiscoUM1-VI1,6464,8000,\ ,Argentina,Miami,16,0,"01/Nov/2021, 10:20, AM","01/Nov/2021, 10:20, AM",9.0
2142,LGOMEZ,SEP34DBFDCD028D,SEP0C272455B39A,6558,6558,CBEJARANO,Venezuela,Venezuela,16,0,"01/Nov/2021, 09:19, AM","01/Nov/2021, 09:21, AM",114.0
2111,JARAQUE,SEP34DBFDCDA583,SEP34DBFDCD0C0C,2222,2222,sala_venezuela,Venezuela,Venezuela,0,16,"01/Nov/2021, 09:21, AM","01/Nov/2021, 09:21, AM",48.0
2036,\ ,SEP34DBFDCC93C1,SEP34DBFDCDA583,2432,2432,JARAQUE,Venezuela,Venezuela,16,0,"01/Nov/2021, 09:23, AM","01/Nov/2021, 09:23, AM",6.0
6489,PGALINDEZ,SEP701F534C3CA7,SIP_Trunk_InterGrupo,2200,2200,\ ,Argentina,Venezuela,16,0,"01/Nov/2021, 10:20, AM","01/Nov/2021, 10:25, AM",328.0
2111,\ ,SEP34DBFDCDA833,10.200.16.4,005002263726,005002263726,\ ,Venezuela,Venezuela,16,0,"01/Nov/2021, 09:21, AM","01/Nov/2021, 09:27, AM",344.0
2154,EGRATEROL,SEP0C272455CE23,SEP34DBFDCD0C0C,2222,2222,sala_venezuela,Venezuela,Venezuela,0,16,"01/Nov/2021, 09:29, AM","01/Nov/2021, 09:30, AM",33.0
2336,\ ,SEP5017FF772F29,SEP0076861BBCE1,5366,5366,YLAMELA,Venezuela,Panama,0,16,"01/Nov/2021, 09:27, AM","01/Nov/2021, 09:31, AM",215.0
2047,ACHOZAJIAN,SEP0C272455C2CF,10.200.16.4,02434282,02434282,\ ,Venezuela,Venezuela,16,0,"01/Nov/2021, 09:33, AM","01/Nov/2021, 09:34, AM",45.0
2111,\ ,SEP34DBFDCDA833,SEP34DBFDCC93C1,2222,2222,\ ,Venezuela,Venezuela,0,16,"01/Nov/2021, 09:36, AM","01/Nov/2021, 09:36, AM",13.0
2472,\ ,AN00F137DEFF400,SEP34DBFDCD0C0C,2222,2222,sala_venezuela,Venezuela,Venezuela,0,16,"01/Nov/2021, 09:40, AM","01/Nov/2021, 09:40, AM",1.0
2336,\ ,SEP5017FF772F29,SEP7C95F33EBBD3,2303,2303,\ ,Venezuela,Venezuela,0,16,"01/Nov/2021, 09:39, AM","01/Nov/2021, 09:40, AM",26.0
2472,\ ,AN00F137DEFF400,SEP34DBFDCC93C1,2222,2222,\ ,Venezuela,Venezuela,16,0,"01/Nov/2021, 09:40, AM","01/Nov/2021, 09:40, AM",2.0
2279,\ ,SEP0C272455C020,SEP0C2724559D18,6535,6535,\ ,Venezuela,Venezuela,16,0,"01/Nov/2021, 09:41, AM","01/Nov/2021, 09:41, AM",14.0
2472,\ ,AN00F137DEFF400,SEP34DBFDCC93C1,2222,2222,\ ,Venezuela,Venezuela,0,16,"01/Nov/2021, 09:41, AM","01/Nov/2021, 09:41, AM",7.0
2142,LGOMEZ,SEP34DBFDCD028D,SEP0C272455B39A,6558,6558,CBEJARANO,Venezuela,Venezuela,16,0,"01/Nov/2021, 09:44, AM","01/Nov/2021, 09:44, AM",27.0
2111,JARAQUE,SEP34DBFDCDA583,10.200.16.4,005002263726,005002263726,\ ,Venezuela,Venezuela,16,0,"01/Nov/2021, 09:44, AM","01/Nov/2021, 09:47, AM",143.0
6553,LFSANCHEZ,SEP64E9502F823E,SEP7C95F33EBF51,2392,2392,AGONZALE,Venezuela,Venezuela,0,16,"01/Nov/2021, 09:47, AM","01/Nov/2021, 09:47, AM",5.0
2152,NCARRERO,SEP0C27245593D5,SEP34DBFDCD028D,2142,2142,LGOMEZ,Venezuela,Venezuela,16,0,"01/Nov/2021, 09:47, AM","01/Nov/2021, 09:48, AM",25.0
2111,JARAQUE,SEP34DBFDCDA583,10.200.16.4,005002263726,005002263726,\ ,Venezuela,Venezuela,16,0,"01/Nov/2021, 09:47, AM","01/Nov/2021, 09:48, AM",53.0
2279,\ ,SEP0C272455C020,SEP34DBFDCC93C1,2222,2222,\ ,Venezuela,Venezuela,0,16,"01/Nov/2021, 09:49, AM","01/Nov/2021, 09:50, AM",40.0
6523,HJHERNANDEZ,SEP0C272455BEF1,SEP0C272455CF64,6552,6552,DNARANJO,Venezuela,Venezuela,0,16,"01/Nov/2021, 09:50, AM","01/Nov/2021, 09:51, AM",50.0
,\ ,AALN/S0/SU3/0@GWVESM-1.caf.com,CiscoUM1-VI1,8559,8000,\ ,Venezuela,Miami,0,16,"01/Nov/2021, 09:50, AM","01/Nov/2021, 09:51, AM",72.0
2047,ACHOZAJIAN,SEP0C272455C2CF,10.200.16.4,02434282,02434282,\ ,Venezuela,Venezuela,16,0,"01/Nov/2021, 09:51, AM","01/Nov/2021, 09:51, AM",1.0
2047,ACHOZAJIAN,SEP0C272455C2CF,10.200.16.4,02434282,02434282,\ ,Venezuela,Venezuela,16,0,"01/Nov/2021, 09:51, AM","01/Nov/2021, 09:51, AM",5.0
2152,NCARRERO,SEP0C27245593D5,SEP0C272455A22B,2093,2093,IHERRERA,Venezuela,Venezuela,0,16,"01/Nov/2021, 09:52, AM","01/Nov/2021, 09:52, AM",38.0
2123195360,\ ,10.200.16.4,CiscoUM1-VI1,2086,8000,\ ,Venezuela,Miami,16,0,"01/Nov/2021, 09:52, AM","01/Nov/2021, 09:53, AM",29.0
2111,JARAQUE,SEP34DBFDCDA583,SIP_Trunk_InterGrupo,2200,2200,\ ,Venezuela,Venezuela,16,0,"01/Nov/2021, 09:49, AM","01/Nov/2021, 09:53, AM",234.0
2111,JARAQUE,SEP34DBFDCDA583,SEP5017FF774174,2254,2254,\ ,Venezuela,Venezuela,16,0,"01/Nov/2021, 09:54, AM","01/Nov/2021, 09:55, AM",35.0
1169349297,\ ,10.200.25.2,CiscoUM1-VI1,6466,8000,\ ,Argentina,Miami,16,0,"01/Nov/2021, 10:55, AM","01/Nov/2021, 10:56, AM",12.0
6595,ZTOVAR,SEP0C272455C1B2,SEP0C27245593D5,2152,2152,NCARRERO,Venezuela,Venezuela,16,0,"01/Nov/2021, 09:59, AM","01/Nov/2021, 09:59, AM",16.0
5316,\ ,SEP045FB9B6A551,SEP045FB9B6A534,5305,5305,\ ,Panama,Panama,0,16,"01/Nov/2021, 09:04, AM","01/Nov/2021, 09:04, AM",10.0
2125433385,\ ,10.200.16.4,CiscoUM1-VI1,2074,8000,\ ,Venezuela,Miami,16,0,"01/Nov/2021, 10:06, AM","01/Nov/2021, 10:06, AM",5.0
2472,\ ,AN00F137DEFF400,SEP34DBFDCC93C1,2222,2222,\ ,Venezuela,Venezuela,0,16,"01/Nov/2021, 10:12, AM","01/Nov/2021, 10:12, AM",32.0
2287,JCARVAJAL,SEP2C3ECF7A3B82,SEP0C272455ABA1,6576,6576,JZAA,Venezuela,Venezuela,0,16,"01/Nov/2021, 10:19, AM","01/Nov/2021, 10:19, AM",27.0
5316,\ ,SEP045FB9B6A551,SEP045FB9B6A534,5305,5305,\ ,Panama,Panama,16,0,"01/Nov/2021, 09:19, AM","01/Nov/2021, 09:19, AM",19.0
1135788641,\ ,10.200.25.2,CiscoUM1-VI1,6414,8000,\ ,Argentina,Miami,16,0,"01/Nov/2021, 11:19, AM","01/Nov/2021, 11:20, AM",57.0
2279,\ ,SEP0C272455C020,SEP0C2724559D18,6535,6535,\ ,Venezuela,Venezuela,16,0,"01/Nov/2021, 10:21, AM","01/Nov/2021, 10:21, AM",8.0
6595,ZTOVAR,SEP0C272455C1B2,SEP0C27245593D5,2152,2152,NCARRERO,Venezuela,Venezuela,16,0,"01/Nov/2021, 10:17, AM","01/Nov/2021, 10:26, AM",563.0
61320950,\ ,10.200.150.2,10.200.150.2,5311,162359372,\ ,Panama,Panama,0,16,"01/Nov/2021, 09:28, AM","01/Nov/2021, 09:31, AM",193.0
3192068481,\ ,10.200.110.2,CiscoUM1-VI1,7311,8000,\ ,Colombia,Miami,16,0,"01/Nov/2021, 09:33, AM","01/Nov/2021, 09:33, AM",3.0
1169349297,\ ,10.200.25.2,CiscoUM1-VI1,6467,8000,\ ,Argentina,Miami,16,0,"01/Nov/2021, 11:39, AM","01/Nov/2021, 11:41, AM",71.0
2336,\ ,SEP5017FF772F29,SIP_Trunk_InterGrupo,2200,2200,\ ,Venezuela,Venezuela,16,0,"01/Nov/2021, 10:40, AM","01/Nov/2021, 10:40, AM",1.0
2122862474,\ ,10.200.16.4,CiscoUM1-VI2,2134,8000,\ ,Venezuela,Miami,16,0,"01/Nov/2021, 10:40, AM","01/Nov/2021, 10:40, AM",4.0
3145,\ ,SEP00279025BA44,SEP00279025BB0F,3133,3133,\ ,Uruguay,Uruguay,0,16,"01/Nov/2021, 11:41, AM","01/Nov/2021, 11:41, AM",10.0
1150295798,\ ,10.200.25.2,CiscoUM1-VI1,6411,8000,\ ,Argentina,Miami,16,0,"01/Nov/2021, 11:41, AM","01/Nov/2021, 11:41, AM",13.0
1150295798,\ ,10.200.25.2,CiscoUM1-VI1,6411,8000,\ ,Argentina,Miami,16,0,"01/Nov/2021, 11:42, AM","01/Nov/2021, 11:42, AM",8.0
2472,\ ,AN00F137DEFF400,SEP0C272455C020,2279,2279,\ ,Venezuela,Venezuela,16,0,"01/Nov/2021, 10:41, AM","01/Nov/2021, 10:42, AM",29.0
5316,\ ,SEP045FB9B6A551,SEP045FB9B6A534,5305,5305,\ ,Panama,Panama,16,0,"01/Nov/2021, 09:43, AM","01/Nov/2021, 09:43, AM",11.0
2279,\ ,SEP0C272455C020,SEP34DBFDCD0C0C,2222,2222,sala_venezuela,Venezuela,Venezuela,0,16,"01/Nov/2021, 10:44, AM","01/Nov/2021, 10:44, AM",11.0
6410,AHATRICK,SEP701F534C3DFE,10.200.25.2,108109999627,108109999627,\ ,Argentina,Argentina,16,0,"01/Nov/2021, 11:45, AM","01/Nov/2021, 11:49, AM",209.0
2447,sala_venezuela,SEP34DBFDCD0C0C,SEP0C272455C020,2279,2279,\ ,Venezuela,Venezuela,0,16,"01/Nov/2021, 10:49, AM","01/Nov/2021, 10:49, AM",10.0
6410,AHATRICK,SEP701F534C3DFE,10.200.25.2,043405656,043405656,\ ,Argentina,Argentina,16,0,"01/Nov/2021, 11:49, AM","01/Nov/2021, 11:49, AM",12.0
2472,\ ,AN00F137DEFF400,SEP34DBFDCC93C1,2222,2222,\ ,Venezuela,Venezuela,0,16,"01/Nov/2021, 10:50, AM","01/Nov/2021, 10:50, AM",8.0
2142,LGOMEZ,SEP34DBFDCD028D,SEP0C27245593D5,2152,2152,NCARRERO,Venezuela,Venezuela,16,0,"01/Nov/2021, 10:49, AM","01/Nov/2021, 10:51, AM",123.0
6410,AHATRICK,SEP701F534C3DFE,10.200.25.2,108109999627,108109999627,\ ,Argentina,Argentina,16,0,"01/Nov/2021, 11:51, AM","01/Nov/2021, 11:52, AM",94.0
2125431305,\ ,10.200.16.4,SEPC4143C8B0AE8,2078,2078,PSALAZAR,Venezuela,Venezuela,0,16,"01/Nov/2021, 10:52, AM","01/Nov/2021, 10:52, AM",22.0
2279,\ ,SEP0C272455C020,SEP34DBFDCC93C1,2222,2222,\ ,Venezuela,Venezuela,0,16,"01/Nov/2021, 11:01, AM","01/Nov/2021, 11:02, AM",17.0
5418,\ ,SEP0076861BBCA8,SEP045FB9B6A534,5305,5305,\ ,Panama,Panama,0,16,"01/Nov/2021, 10:03, AM","01/Nov/2021, 10:03, AM",12.0
5418,\ ,SEP0076861BBCA8,CiscoUM1-VI1,5379,8000,\ ,Panama,Miami,16,0,"01/Nov/2021, 10:03, AM","01/Nov/2021, 10:03, AM",3.0
2036,\ ,SEP34DBFDCC93C1,AN00F137DEFF400,2472,2472,\ ,Venezuela,Venezuela,16,0,"01/Nov/2021, 11:03, AM","01/Nov/2021, 11:03, AM",20.0
6017868905,\ ,10.200.110.2,CiscoUM1-VI1,7322,8000,\ ,Colombia,Miami,16,0,"01/Nov/2021, 10:05, AM","01/Nov/2021, 10:05, AM",7.0
2472,\ ,AN00F137DEFF400,SEP34DBFDCC93C1,2222,2222,\ ,Venezuela,Venezuela,0,16,"01/Nov/2021, 11:05, AM","01/Nov/2021, 11:05, AM",9.0
6523,HJHERNANDEZ,SEP0C272455BEF1,SEP34DBFDCC93C1,2222,2222,\ ,Venezuela,Venezuela,16,0,"01/Nov/2021, 11:10, AM","01/Nov/2021, 11:10, AM",53.0
2472,\ ,AN00F137DEFF400,SEP34DBFDCD0C0C,2222,2222,sala_venezuela,Venezuela,Venezuela,0,16,"01/Nov/2021, 11:10, AM","01/Nov/2021, 11:11, AM",33.0
